location,year,month,avg_temp_c,max_temp_c,min_temp_c,rainfall_mm
Madurai,2000,1,24.8,31.2,18.4,12.0
Madurai,2000,2,26.1,33.1,19.1,6.5
Madurai,2000,3,28.9,36.4,21.4,10.2
Madurai,2000,4,31.2,38.5,23.9,28.5
Madurai,2000,5,33.1,40.2,26.0,52.3
Madurai,2000,6,31.8,37.5,26.1,42.1
Madurai,2000,7,30.5,35.8,25.2,65.4
Madurai,2000,8,30.2,35.3,25.1,72.6
Madurai,2000,9,30.4,35.6,25.2,105.3
Madurai,2000,10,29.8,34.2,25.4,148.7
Madurai,2000,11,27.6,31.5,23.7,132.4
Madurai,2000,12,25.4,29.8,21.0,42.1
Madurai,2001,1,24.6,30.9,18.3,15.2
Madurai,2001,2,26.3,33.4,19.2,4.8
Madurai,2001,3,29.1,36.7,21.5,8.7
Madurai,2001,4,31.4,38.8,24.0,31.2
Madurai,2001,5,33.4,40.5,26.3,48.6
Madurai,2001,6,31.6,37.2,25.8,55.3
Madurai,2001,7,30.3,35.5,25.0,70.2
Madurai,2001,8,30.0,35.1,24.9,68.4
Madurai,2001,9,30.2,35.4,25.0,98.7
Madurai,2001,10,29.5,33.8,25.2,162.3
Madurai,2001,11,27.3,31.2,23.4,145.6
Madurai,2001,12,25.1,29.5,20.7,38.4
Madurai,2002,1,24.5,31.0,18.0,10.5
Madurai,2002,2,26.4,33.5,19.3,3.2
Madurai,2002,3,29.3,36.9,21.7,12.4
Madurai,2002,4,31.8,39.2,24.4,24.6
Madurai,2002,5,33.8,41.0,26.6,38.4
Madurai,2002,6,32.1,37.8,26.4,32.5
Madurai,2002,7,30.6,36.0,25.3,58.9
Madurai,2002,8,30.3,35.5,25.2,62.1
Madurai,2002,9,30.5,35.8,25.3,88.4
Madurai,2002,10,29.6,33.9,25.3,138.2
Madurai,2002,11,27.4,31.3,23.5,118.6
Madurai,2002,12,25.2,29.6,20.8,34.7
Madurai,2003,1,25.0,31.4,18.6,14.8
Madurai,2003,2,26.5,33.6,19.4,7.1
Madurai,2003,3,29.0,36.5,21.5,9.8
Madurai,2003,4,31.5,38.9,24.1,26.8
Madurai,2003,5,33.5,40.7,26.2,55.7
Madurai,2003,6,31.9,37.6,26.0,48.2
Madurai,2003,7,30.4,35.7,25.1,72.8
Madurai,2003,8,30.1,35.2,25.0,75.4
Madurai,2003,9,30.3,35.5,25.1,110.2
Madurai,2003,10,29.7,34.0,25.3,155.4
Madurai,2003,11,27.5,31.4,23.6,128.7
Madurai,2003,12,25.3,29.7,20.9,40.3
Madurai,2004,1,24.7,31.1,18.3,11.2
Madurai,2004,2,26.2,33.2,19.1,5.4
Madurai,2004,3,29.2,36.7,21.7,11.5
Madurai,2004,4,31.7,39.1,24.3,30.4
Madurai,2004,5,33.7,41.0,26.5,49.8
Madurai,2004,6,31.8,37.5,26.0,44.6
Madurai,2004,7,30.5,35.8,25.2,68.3
Madurai,2004,8,30.2,35.4,25.1,70.8
Madurai,2004,9,30.4,35.7,25.2,102.6
Madurai,2004,10,29.6,34.0,25.3,152.1
Madurai,2004,11,27.4,31.3,23.5,125.3
Madurai,2004,12,25.2,29.6,20.8,38.9
Madurai,2005,1,24.9,31.3,18.5,13.1
Madurai,2005,2,26.4,33.5,19.3,6.8
Madurai,2005,3,29.1,36.6,21.6,10.8
Madurai,2005,4,31.6,39.0,24.2,29.1
Madurai,2005,5,33.6,40.8,26.3,51.4
Madurai,2005,6,31.9,37.6,26.1,46.8
Madurai,2005,7,30.5,35.8,25.2,67.5
Madurai,2005,8,30.2,35.3,25.1,74.2
Madurai,2005,9,30.4,35.6,25.2,107.8
Madurai,2005,10,29.8,34.1,25.4,158.6
